,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE15,FONDL15,ROBBE15,AGG_A15,geo_address,lat_lng
4631,CUNY Bronx Community College,Bronx Community College - Main Campus,2155 UNIVERSITY AVENUE,BRONX,NY,104533102,4,"Public, 2-year",4896.0,6538.0,11434.0,0,3,1,0,"2155 UNIVERSITY AVENUE BRONX, NY",
4635,CUNY City College,The City College of New York,160 CONVENT AVE,NEW YORK,NY,10031,1,"Public, 4-year or above",7643.0,8135.0,15778.0,0,2,1,1,"160 CONVENT AVE NEW YORK, NY",
4639,CUNY Hostos Community College,Main Campus,500 GRAND CONCOURSE,BRONX,NY,10451,4,"Public, 2-year",2489.0,4882.0,7371.0,0,0,0,1,"500 GRAND CONCOURSE BRONX, NY",
4667,Elmira College,Main Campus,One Park Place,Elmira,NY,14901,2,"Private nonprofit, 4-year or above",415.0,961.0,1376.0,3,0,0,1,"One Park Place Elmira, NY",
4694,Hobart William Smith Colleges,Main Campus,300 Pulteney Street,GENEVA,NY,14456,2,"Private nonprofit, 4-year or above",1189.0,1162.0,2351.0,6,0,0,1,"300 Pulteney Street GENEVA, NY",
4726,LIU Brooklyn,Main Campus,UNIVERSITY PLAZA,BROOKLYN,NY,112015372,2,"Private nonprofit, 4-year or above",2500.0,5670.0,8170.0,0,4,2,5,"UNIVERSITY PLAZA BROOKLYN, NY",
4770,Mount Saint Mary College,Main Campus,330 POWELL AVE,NEWBURGH,NY,12550,2,"Private nonprofit, 4-year or above",715.0,1793.0,2508.0,1,1,0,0,"330 POWELL AVE NEWBURGH, NY",
4833,Pace University-New York,Pleasantville/Briarcliff,861 Bedford Rd,Pleasantville,NY,10570,2,"Private nonprofit, 4-year or above",5161.0,7682.0,12843.0,1,0,1,0,"861 Bedford Rd Pleasantville, NY",
4856,Empire Beauty School-Manhattan,"Empire Beauty School - Manhattan, NY",22 W 34TH ST 2nd floor,NEW YORK,NY,100013010,9,"Private for-profit, less-than 2-year",36.0,530.0,566.0,0,0,0,1,"22 W 34TH ST 2nd floor NEW YORK, NY",
4860,St Bonaventure University,Main Campus,3261 West State Road,SAINT BONAVENTURE,NY,14778,2,"Private nonprofit, 4-year or above",956.0,1036.0,1992.0,3,0,0,2,"3261 West State Road SAINT BONAVENTURE, NY",
4890,SUNY College of Technology at Alfred,Alfred State College - Alfred Campus,10 Upper College Drive,ALFRED,NY,14802,1,"Public, 4-year or above",2275.0,1424.0,3699.0,3,1,0,0,"10 Upper College Drive ALFRED, NY",
4907,SUNY Buffalo State,Buffalo State College,1300 ELMWOOD AVE,BUFFALO,NY,142221095,1,"Public, 4-year or above",4308.0,6022.0,10330.0,4,5,3,7,"1300 ELMWOOD AVE BUFFALO, NY",
5071,Brevard College,Main Campus,1 Brevard College Drive,Brevard,NC,287123306,2,"Private nonprofit, 4-year or above",398.0,331.0,729.0,2,0,0,3,"1 Brevard College Drive Brevard, NC",
5117,Duke University,Main Campus,207 ALLEN BLDG. BOX 90001,DURHAM,NC,27708,2,"Private nonprofit, 4-year or above",8094.0,7890.0,15984.0,13,6,3,1,"207 ALLEN BLDG. BOX 90001 DURHAM, NC",
5130,Forsyth Technical Community College,Main Campus,2100 SILAS CREEK PKY,Winston-Salem,NC,271035197,4,"Public, 2-year",3397.0,4999.0,8396.0,0,0,1,4,"2100 SILAS CREEK PKY Winston-Salem, NC",
5160,Johnston Community College,Main Campus,245 COLLEGE ROAD,SMITHFIELD,NC,275772350,4,"Public, 2-year",1408.0,2561.0,3969.0,0,2,0,0,"245 COLLEGE ROAD SMITHFIELD, NC",
5170,Louisburg College,Main Campus,501 N. Main St.,Louisburg,NC,275492399,5,"Private nonprofit, 2-year",447.0,258.0,705.0,0,2,0,1,"501 N. Main St. Louisburg, NC",
5666,Wittenberg University,Main Campus,200 W. Ward Street,SPRINGFIELD,OH,455042199,2,"Private nonprofit, 4-year or above",801.0,1075.0,1876.0,1,5,0,0,"200 W. Ward Street SPRINGFIELD, OH",
5668,Wright State University-Main Campus,Dayton (Main) Campus,3640 Colonel Glenn Highway,Dayton,OH,454350001,1,"Public, 4-year or above",8255.0,8815.0,17070.0,5,6,4,1,"3640 Colonel Glenn Highway Dayton, OH",
5705,Northeastern Oklahoma A&M College,Main Campus,200 I ST NE,Miami,OK,74354,4,"Public, 2-year",889.0,1218.0,2107.0,1,0,1,0,"200 I ST NE Miami, OK",
5707,Northwestern Oklahoma State University,Main Campus,709 OKLAHOMA BLVD,ALVA,OK,737172799,1,"Public, 4-year or above",928.0,1208.0,2136.0,2,0,0,0,"709 OKLAHOMA BLVD ALVA, OK",
5736,Rose State College,Rose State College,6420 S E 15TH,MIDWEST CITY,OK,731102799,4,"Public, 2-year",2572.0,4040.0,6612.0,0,1,1,4,"6420 S E 15TH MIDWEST CITY, OK",
5784,Concordia University-Portland,Main Campus,2811 NE Holman Street,Portland,OR,972116099,2,"Private nonprofit, 4-year or above",1715.0,5467.0,7182.0,1,0,0,0,"2811 NE Holman Street Portland, OR",
5985,Edinboro University of Pennsylvania,Main Campus,"Accounting Office, Room 230, McNerney Hall",Edinboro,PA,164440001,1,"Public, 4-year or above",2507.0,4041.0,6548.0,4,0,0,1,"Accounting Office, Room 230, McNerney Hall Edinboro, PA",
6005,Gannon University,Main Campus,109 University Square,ERIE,PA,165410001,2,"Private nonprofit, 4-year or above",2040.0,2376.0,4416.0,3,2,7,0,"109 University Square ERIE, PA",
6129,Pennsylvania State University-Penn State Schuylkill,Schuylkill Campus Penn State,200 UNIVERSITY DR,SCHUYLKILL HAVEN,PA,179722208,1,"Public, 4-year or above",314.0,469.0,783.0,0,1,0,0,"200 UNIVERSITY DR SCHUYLKILL HAVEN, PA",
6184,Robert Morris University,Main Campus,6001 University Blvd,MOON TOWNSHIP,PA,151081189,2,"Private nonprofit, 4-year or above",2918.0,2459.0,5377.0,3,0,0,0,"6001 University Blvd MOON TOWNSHIP, PA",
6232,Valley Forge Military College,Main Campus,1001 Eagle Rd  ATTN: Wayne Hall,Wayne,PA,19087,5,"Private nonprofit, 2-year",292.0,42.0,334.0,0,1,0,7,"1001 Eagle Rd  ATTN: Wayne Hall Wayne, PA",
6270,Providence College,Main Campus,1 Cunningham Square,PROVIDENCE,RI,029180001,2,"Private nonprofit, 4-year or above",2004.0,2558.0,4562.0,2,0,0,0,"1 Cunningham Square PROVIDENCE, RI",
6355,Medical University of South Carolina,Main Campus,179 ASHLEY AVE MSC 001,CHARLESTON,SC,29425,1,"Public, 4-year or above",1112.0,1880.0,2992.0,4,2,0,3,"179 ASHLEY AVE MSC 001 CHARLESTON, SC",
6358,Newberry College,Main Campus,2100 COLLEGE ST,NEWBERRY,SC,29108,2,"Private nonprofit, 4-year or above",573.0,491.0,1064.0,0,1,0,0,"2100 COLLEGE ST NEWBERRY, SC",
6432,South Dakota State University,Main Campus,"Box 2201, ADM 324",Brookings,SD,570071998,1,"Public, 4-year or above",5852.0,6724.0,12576.0,4,0,0,1,"Box 2201, ADM 324 Brookings, SD",
6533,Middle Tennessee State University,Main Campus,1301 East Main Street,MURFREESBORO,TN,37132,1,"Public, 4-year or above",10199.0,12312.0,22511.0,7,3,3,3,"1301 East Main Street MURFREESBORO, TN",
6659,Baylor University,Main Campus,One Bear Place #97090,WACO,TX,767987090,2,"Private nonprofit, 4-year or above",7373.0,9414.0,16787.0,23,3,0,5,"One Bear Place #97090 WACO, TX",
6699,Texas A & M University-Corpus Christi,Main Campus,6300 Ocean Dr.,Corpus Christi,TX,784125503,1,"Public, 4-year or above",4617.0,7044.0,11661.0,1,1,0,2,"6300 Ocean Dr. Corpus Christi, TX",
6828,Covenant School of Nursing and Allied Health,Main Campus,1919 Frankford Ave.,LUBBOCK,TX,79407,5,"Private nonprofit, 2-year",68.0,224.0,292.0,1,0,0,0,"1919 Frankford Ave. LUBBOCK, TX",
6962,Texas A & M University-Kingsville,Texas A&M University Kingsville,700 UNIVERSITY BLVD,KINGSVILLE,TX,78363,1,"Public, 4-year or above",5205.0,4002.0,9207.0,3,3,0,1,"700 UNIVERSITY BLVD KINGSVILLE, TX",
6999,Texas Tech University,Texas Tech University - Lubbock,"150 Administration Building, Box 42005",LUBBOCK,TX,794092005,1,"Public, 4-year or above",19385.0,16474.0,35859.0,8,1,2,0,"150 Administration Building, Box 42005 LUBBOCK, TX",
7126,Bennington College,Main Campus,One College Drive,Bennington,VT,052016001,2,"Private nonprofit, 4-year or above",282.0,519.0,801.0,3,0,0,0,"One College Drive Bennington, VT",
7186,Ferrum College,Ferrum College,215 Ferrum Mountain Road,FERRUM,VA,240889000,2,"Private nonprofit, 4-year or above",735.0,599.0,1334.0,0,1,0,0,"215 Ferrum Mountain Road FERRUM, VA",
7192,George Mason University,Mason Korea,119 SONGDO MUNHWA-SO,YEONSU GU INCHEON,,406-840,1,"Public, 4-year or above",15887.0,18042.0,33929.0,0,4,0,0,"119 SONGDO MUNHWA-SO YEONSU GU INCHEON, ",
7205,James Madison University,Main Campus-Harrisonburg,821 South Main Street  MSC 6810,HARRISONBURG,VA,22807,1,"Public, 4-year or above",8583.0,12644.0,21227.0,12,4,1,1,"821 South Main Street  MSC 6810 HARRISONBURG, VA",
7361,Virginia Commonwealth University,MCV Campus,910 W. Franklin St.,Richmond,VA,232842024,1,"Public, 4-year or above",12899.0,18019.0,30918.0,3,3,1,1,"910 W. Franklin St. Richmond, VA",
7579,Madison Area Technical College,Downtown Educational Center,211 North Carroll Street,MADISON,WI,53703,1,"Public, 4-year or above",7463.0,9057.0,16520.0,0,0,0,1,"211 North Carroll Street MADISON, WI",
7591,Carroll University,Main Campus,100 N EAST AVE,WAUKESHA,WI,53186,2,"Private nonprofit, 4-year or above",1232.0,2276.0,3508.0,4,4,0,0,"100 N EAST AVE WAUKESHA, WI",
7691,Western Technical College,Main Campus,400 Seventh St. North,LA CROSSE,WI,546020908,4,"Public, 2-year",1746.0,2298.0,4044.0,0,0,0,1,"400 Seventh St. North LA CROSSE, WI",
7698,University of Wisconsin-Whitewater,Main Campus,800 W. Main St.,WHITEWATER,WI,53190,1,"Public, 4-year or above",6141.0,6219.0,12360.0,7,0,1,1,"800 W. Main St. WHITEWATER, WI",
7736,University of Wyoming,University of Wyoming,Dept. 3434 1000 E. University Old Main #206,Laramie,WY,82071,1,"Public, 4-year or above",6132.0,6516.0,12648.0,14,1,0,0,"Dept. 3434 1000 E. University Old Main #206 Laramie, WY",
7766,Universidad Metropolitana,Bayamon,"CENTRO DE GOBIERNO BAYAMON EDIF B, C, D Y F",BAYAMON,PR,00960,2,"Private nonprofit, 4-year or above",4950.0,8969.0,13919.0,0,0,4,0,"CENTRO DE GOBIERNO BAYAMON EDIF B, C, D Y F BAYAMON, PR",
7789,Instituto de Banca y Comercio Inc,Mayaguez,Avenida Tenerife 75 Carretera 2 Bo Sultana,Mayaguez,PR,006801429,6,"Private for-profit, 2-year",5958.0,7761.0,13719.0,0,0,2,0,"Avenida Tenerife 75 Carretera 2 Bo Sultana Mayaguez, PR",
7790,Instituto de Banca y Comercio Inc,Guayama,Carretera 3 km 138.21 Edificio Iraola Bo Machete,Guayama,PR,007849604,6,"Private for-profit, 2-year",5958.0,7761.0,13719.0,0,0,2,0,"Carretera 3 km 138.21 Edificio Iraola Bo Machete Guayama, PR",
7794,Instituto de Banca y Comercio Inc,Lajas,65 Infanteria St. 49 Interior Box 508,Lajas,PR,00667,6,"Private for-profit, 2-year",5958.0,7761.0,13719.0,0,0,2,0,"65 Infanteria St. 49 Interior Box 508 Lajas, PR",
7805,Instituto Tecnologico de Puerto Rico-Recinto de Ponce,Instituto Tecnologico de P.R.-Recinto de Ponce,CANDIDO HOYOS 4820 URB. PERLA DEL SUR,PONCE,PR,00717,4,"Public, 2-year",451.0,214.0,665.0,0,0,2,0,"CANDIDO HOYOS 4820 URB. PERLA DEL SUR PONCE, PR",
7822,National University College-Bayamon,Main Campus,ST RD 2 NATIONAL COLLEGE PLAZA BLDG. KM.,BAYAMON,PR,009602036,3,"Private for-profit, 4-year or above",1676.0,3596.0,5272.0,0,0,1,0,"ST RD 2 NATIONAL COLLEGE PLAZA BLDG. KM. BAYAMON, PR",
7823,National University College-Arecibo,Arecibo Branch Campus,Manuel Perez Aviles St. Victor Rojas Avenue,ARECIBO,PR,00612,3,"Private for-profit, 4-year or above",583.0,868.0,1451.0,0,0,0,5,"Manuel Perez Aviles St. Victor Rojas Avenue ARECIBO, PR",
7826,Ponce School of Medicine and Health Sciences,Ponce Health Sciences University,Urb Industrial Reparada 2 #388,PONCE,PR,007162347,3,"Private for-profit, 4-year or above",272.0,537.0,809.0,0,0,3,0,"Urb Industrial Reparada 2 #388 PONCE, PR",
7923,St. John's College,St. John's College Santa Fe,1160 CAMINO de CRUZ BLANCA,SANTA FE,NM,875054599,2,"Private nonprofit, 4-year or above",226.0,164.0,390.0,2,0,0,0,"1160 CAMINO de CRUZ BLANCA SANTA FE, NM",
8089,New College of Florida,New College of Florida,5800 Bay Shore Road,SARASOTA,FL,34243,1,"Public, 4-year or above",336.0,525.0,861.0,1,0,0,0,"5800 Bay Shore Road SARASOTA, FL",
8117,Caribbean University-Vega Baja,Vega Baja,BARRIO ALGARROBO  SECTOR CRIOLLO CARR 67 Km .5,VEGA BAJA,PR,00693,2,"Private nonprofit, 4-year or above",166.0,309.0,475.0,0,0,1,0,"BARRIO ALGARROBO  SECTOR CRIOLLO CARR 67 Km .5 VEGA BAJA, PR",
8154,Mayo Graduate School,Main Campus,200 1ST ST SW,ROCHESTER,MN,55905,2,"Private nonprofit, 4-year or above",117.0,159.0,276.0,0,5,0,1,"200 1ST ST SW ROCHESTER, MN",
8328,EDIC College,EDIC COLLEGE CAGUAS CAMPUS,CALLE GÉNOVA NÜM 8 ESQ 5 URB CAGUAS NORTE,CAGUAS,PR,007269120,6,"Private for-profit, 2-year",361.0,884.0,1245.0,0,0,1,0,"CALLE GÉNOVA NÜM 8 ESQ 5 URB CAGUAS NORTE CAGUAS, PR",
8367,Fond du Lac Tribal and Community College,Main Campus,2101 14TH ST,CLOQUET,MN,557205581,4,"Public, 2-year",948.0,1279.0,2227.0,0,1,0,0,"2101 14TH ST CLOQUET, MN",
8404,Southwest Collegiate Institute for the Deaf,SouthWest Colligate Institute for the Deaf,3200 AVE C,BIG SPRING,TX,797207298,4,"Public, 2-year",59.0,55.0,114.0,0,2,0,0,"3200 AVE C BIG SPRING, TX",
8470,Diversified Vocational College,Diversified Vocational College,1670 Wilshire Blvd,Los Angeles,CA,900171604,9,"Private for-profit, less-than 2-year",359.0,379.0,738.0,0,0,0,1,"1670 Wilshire Blvd Los Angeles, CA",
8593,South Texas College,Pecan Campus,3201 W PECAN,MCALLEN,TX,785029701,1,"Public, 4-year or above",15117.0,19254.0,34371.0,0,3,0,0,"3201 W PECAN MCALLEN, TX",
9203,Modern Hairstyling Institute-Carolina,Main Campus,Carr PR-887 KM 0.9 Bo. Martin Gonzalez Victoria Park,Carolina,PR,00985,9,"Private for-profit, less-than 2-year",47.0,105.0,152.0,0,0,2,0,"Carr PR-887 KM 0.9 Bo. Martin Gonzalez Victoria Park Carolina, PR",
9213,Branford Hall Career Institute-Springfield Campus,Branford Hall Career Institute,"189 Brookdale Drive, Suite B",SPRINGFIELD,MA,01104,9,"Private for-profit, less-than 2-year",182.0,347.0,529.0,0,0,0,1,"189 Brookdale Drive, Suite B SPRINGFIELD, MA",
9385,Le Cordon Bleu College of Culinary Arts-Orlando,Le Cordon Bleu College of Culinary Arts-Orlando,8511 COMMODITY CIR,ORLANDO,FL,32819,6,"Private for-profit, 2-year",453.0,464.0,917.0,0,0,0,1,"8511 COMMODITY CIR ORLANDO, FL",
9540,Flagler College-Tallahassee,Flagler College-Tallahassee,444 APPLEYARD DR,TALLAHASSEE,FL,32304,2,"Private nonprofit, 4-year or above",142.0,300.0,442.0,0,0,1,0,"444 APPLEYARD DR TALLAHASSEE, FL",
9857,Brite Divinity School,Brite Divinity School,2800 S. University Dr.,Fort Worth,TX,76129,2,"Private nonprofit, 4-year or above",111.0,106.0,217.0,12,0,1,2,"2800 S. University Dr. Fort Worth, TX",
10847,Paul Mitchell the School-Jersey Shore,Main Campus,712 Route 70,Brick,NJ,087233413,9,"Private for-profit, less-than 2-year",5.0,119.0,124.0,0,0,1,0,"712 Route 70 Brick, NJ",
10882,Middle Georgia State University,Cochran,1100 Second Street,Cochran,GA,310141599,1,"Public, 4-year or above",3229.0,4447.0,7676.0,3,0,0,0,"1100 Second Street Cochran, GA",
11234,Presidio Graduate School,Main Campus,1202 Ralston Ave #300,San Francisco,CA,941291749,2,"Private nonprofit, 4-year or above",54.0,79.0,133.0,0,0,3,0,"1202 Ralston Ave #300 San Francisco, CA",
11265,Emory University-Oxford College,Oxford College Campus,810 Whatcoat Street,Oxford,GA,30054,5,"Private nonprofit, 2-year",404.0,532.0,936.0,0,4,0,0,"810 Whatcoat Street Oxford, GA",
