,Unnamed: 0,Unnamed: 0.1,INSTNM,BRANCH,Address,City,State,ZIP,sector_cd,Sector_desc,men_total,women_total,Total,RAPE16,FONDL16,ROBBE16,AGG_A16,geo_address,lat_lng,lat,long,Assault,Robbery,Fondling,Rape,AGG_A16_hover_text,ROBBE16_hover_text,FONDL16_hover_text,RAPE16_hover_text
48,195,7176,Lyndon State College,Main Campus,1001 COLLEGE RD,LYNDONVILLE,VT,58510919,1,"Public, 4-year or above",706.0,550.0,1256.0,2,0,0,0,"1001 COLLEGE RD, LYNDONVILLE, VT","[44.5355557, -72.0251971]",44.5355557,-72.0251971,0.0,0.0,0.0,1.6,"Lyndon State College<br>Lyndonville, VT<br>Crime Count: 0<br>Enrollment: 1256<br>Rate per 1000 students: 0.0","Lyndon State College<br>Lyndonville, VT<br>Crime Count: 0<br>Enrollment: 1256<br>Rate per 1000 students: 0.0","Lyndon State College<br>Lyndonville, VT<br>Crime Count: 0<br>Enrollment: 1256<br>Rate per 1000 students: 0.0","Lyndon State College<br>Lyndonville, VT<br>Crime Count: 2<br>Enrollment: 1256<br>Rate per 1000 students: 1.6"
50,201,7372,Sweet Briar College,Main Campus,RTE 29,SWEET BRIAR,VA,245959998,2,"Private nonprofit, 4-year or above",8.0,368.0,376.0,2,0,0,0,"RTE 29, SWEET BRIAR, VA","[37.55387169999999, -79.0663271]",37.5538717,-79.0663271,0.0,0.0,0.0,5.3,"Sweet Briar College<br>Sweet Briar, VA<br>Crime Count: 0<br>Enrollment: 376<br>Rate per 1000 students: 0.0","Sweet Briar College<br>Sweet Briar, VA<br>Crime Count: 0<br>Enrollment: 376<br>Rate per 1000 students: 0.0","Sweet Briar College<br>Sweet Briar, VA<br>Crime Count: 0<br>Enrollment: 376<br>Rate per 1000 students: 0.0","Sweet Briar College<br>Sweet Briar, VA<br>Crime Count: 2<br>Enrollment: 376<br>Rate per 1000 students: 5.3"
52,203,7578,Marshall University,Marshall University,1 John Marshall Drive,HUNTINGTON,WV,25755,1,"Public, 4-year or above",5685.0,7962.0,13647.0,4,0,4,0,"1 John Marshall Drive, HUNTINGTON, WV","[38.4223904, -82.42890419999999]",38.4223904,-82.4289042,0.0,0.3,0.0,0.3,"Marshall University<br>Huntington, WV<br>Crime Count: 0<br>Enrollment: 13647<br>Rate per 1000 students: 0.0","Marshall University<br>Huntington, WV<br>Crime Count: 4<br>Enrollment: 13647<br>Rate per 1000 students: 0.3","Marshall University<br>Huntington, WV<br>Crime Count: 0<br>Enrollment: 13647<br>Rate per 1000 students: 0.0","Marshall University<br>Huntington, WV<br>Crime Count: 4<br>Enrollment: 13647<br>Rate per 1000 students: 0.3"
53,205,7611,West Virginia University,Main Campus,P.O. Box 6563 University Police,MORGANTOWN,WV,265066563,1,"Public, 4-year or above",14703.0,13785.0,28488.0,9,1,3,0,"P.O. Box 6563 University Police, MORGANTOWN, WV","[39.652866, -79.96233099999999]",39.652866,-79.962331,0.0,0.1,0.0,0.3,"West Virginia University<br>Morgantown, WV<br>Crime Count: 0<br>Enrollment: 28488<br>Rate per 1000 students: 0.0","West Virginia University<br>Morgantown, WV<br>Crime Count: 3<br>Enrollment: 28488<br>Rate per 1000 students: 0.1","West Virginia University<br>Morgantown, WV<br>Crime Count: 1<br>Enrollment: 28488<br>Rate per 1000 students: 0.0","West Virginia University<br>Morgantown, WV<br>Crime Count: 9<br>Enrollment: 28488<br>Rate per 1000 students: 0.3"
55,208,7616,Madison Area Technical College,Truax Campus,1701 Wright Street,MADISON,WI,53704,1,"Public, 4-year or above",6800.0,8870.0,15670.0,0,2,1,0,"1701 Wright Street, MADISON, WI","[43.12171550000001, -89.3285843]",43.1217155,-89.3285843,0.0,0.1,0.1,0.0,"Madison Area Technical College<br>Madison, WI<br>Crime Count: 0<br>Enrollment: 15670<br>Rate per 1000 students: 0.0","Madison Area Technical College<br>Madison, WI<br>Crime Count: 1<br>Enrollment: 15670<br>Rate per 1000 students: 0.1","Madison Area Technical College<br>Madison, WI<br>Crime Count: 2<br>Enrollment: 15670<br>Rate per 1000 students: 0.1","Madison Area Technical College<br>Madison, WI<br>Crime Count: 0<br>Enrollment: 15670<br>Rate per 1000 students: 0.0"
56,209,7626,Beloit College,Beloit College,700 COLLEGE ST,BELOIT,WI,535115595,2,"Private nonprofit, 4-year or above",639.0,755.0,1394.0,10,5,0,3,"700 COLLEGE ST, BELOIT, WI","[42.5030333, -89.0309048]",42.5030333,-89.0309048,2.2,0.0,3.6,7.2,"Beloit College<br>Beloit, WI<br>Crime Count: 3<br>Enrollment: 1394<br>Rate per 1000 students: 2.2","Beloit College<br>Beloit, WI<br>Crime Count: 0<br>Enrollment: 1394<br>Rate per 1000 students: 0.0","Beloit College<br>Beloit, WI<br>Crime Count: 5<br>Enrollment: 1394<br>Rate per 1000 students: 3.6","Beloit College<br>Beloit, WI<br>Crime Count: 10<br>Enrollment: 1394<br>Rate per 1000 students: 7.2"
58,211,7788,American Samoa Community College,American Samoa Community College,PO BOX 2609,Pago Pago,AS,96799,1,"Public, 4-year or above",411.0,842.0,1253.0,0,0,0,2,"PO BOX 2609, Pago Pago, AS","[-14.3222987, -170.7419422]",-14.3222987,-170.7419422,1.6,0.0,0.0,0.0,"American Samoa Community College<br>Pago Pago, AS<br>Crime Count: 2<br>Enrollment: 1253<br>Rate per 1000 students: 1.6","American Samoa Community College<br>Pago Pago, AS<br>Crime Count: 0<br>Enrollment: 1253<br>Rate per 1000 students: 0.0","American Samoa Community College<br>Pago Pago, AS<br>Crime Count: 0<br>Enrollment: 1253<br>Rate per 1000 students: 0.0","American Samoa Community College<br>Pago Pago, AS<br>Crime Count: 0<br>Enrollment: 1253<br>Rate per 1000 students: 0.0"
62,215,7834,ICPR Junior College-Arecibo,ARECIBO CAMPUS,20 SAN PATRICIO,ARECIBO,PR,6140067,6,"Private for-profit, 2-year",132.0,311.0,443.0,0,0,0,1,"20 SAN PATRICIO, ARECIBO, PR","[18.478006, -66.759328]",18.478006,-66.759328,2.3,0.0,0.0,0.0,"ICPR Junior College-Arecibo<br>Arecibo, PR<br>Crime Count: 1<br>Enrollment: 443<br>Rate per 1000 students: 2.3","ICPR Junior College-Arecibo<br>Arecibo, PR<br>Crime Count: 0<br>Enrollment: 443<br>Rate per 1000 students: 0.0","ICPR Junior College-Arecibo<br>Arecibo, PR<br>Crime Count: 0<br>Enrollment: 443<br>Rate per 1000 students: 0.0","ICPR Junior College-Arecibo<br>Arecibo, PR<br>Crime Count: 0<br>Enrollment: 443<br>Rate per 1000 students: 0.0"
63,216,7839,Instituto de Banca y Comercio Inc,Ponce,"Calle Ferrocarril 709, Esquina Concordia",Ponce,PR,7175033,6,"Private for-profit, 2-year",5165.0,6115.0,11280.0,0,0,6,4,"Calle Ferrocarril 709, Esquina Concordia, Ponce, PR","[18.0058886, -66.61435159999999]",18.0058886,-66.6143516,0.4,0.5,0.0,0.0,"Instituto de Banca y Comercio Inc<br>Ponce, PR<br>Crime Count: 4<br>Enrollment: 11280<br>Rate per 1000 students: 0.4","Instituto de Banca y Comercio Inc<br>Ponce, PR<br>Crime Count: 6<br>Enrollment: 11280<br>Rate per 1000 students: 0.5","Instituto de Banca y Comercio Inc<br>Ponce, PR<br>Crime Count: 0<br>Enrollment: 11280<br>Rate per 1000 students: 0.0","Instituto de Banca y Comercio Inc<br>Ponce, PR<br>Crime Count: 0<br>Enrollment: 11280<br>Rate per 1000 students: 0.0"
67,220,7880,University of Puerto Rico-Mayaguez,"University of PR, Mayaguez Campus",POST ST,MAYAGUEZ,PR,6819000,1,"Public, 4-year or above",7185.0,6129.0,13314.0,0,0,9,2,"POST ST, MAYAGUEZ, PR","[18.1920158, -67.14335059999999]",18.1920158,-67.1433506,0.2,0.7,0.0,0.0,"University of Puerto Rico-Mayaguez<br>Mayaguez, PR<br>Crime Count: 2<br>Enrollment: 13314<br>Rate per 1000 students: 0.2","University of Puerto Rico-Mayaguez<br>Mayaguez, PR<br>Crime Count: 9<br>Enrollment: 13314<br>Rate per 1000 students: 0.7","University of Puerto Rico-Mayaguez<br>Mayaguez, PR<br>Crime Count: 0<br>Enrollment: 13314<br>Rate per 1000 students: 0.0","University of Puerto Rico-Mayaguez<br>Mayaguez, PR<br>Crime Count: 0<br>Enrollment: 13314<br>Rate per 1000 students: 0.0"
68,221,7882,University of Puerto Rico-Rio Piedras,University of Puerto Rico-Rio Piedras Campus,PONCE DE LEON  AVE,San Juan,PR,9313301,1,"Public, 4-year or above",6473.0,10399.0,16872.0,0,0,6,0,"PONCE DE LEON  AVE, San Juan, PR","[18.4662426, -66.10579609999999]",18.4662426,-66.1057961,0.0,0.4,0.0,0.0,"University of Puerto Rico-Rio Piedras<br>San Juan, PR<br>Crime Count: 0<br>Enrollment: 16872<br>Rate per 1000 students: 0.0","University of Puerto Rico-Rio Piedras<br>San Juan, PR<br>Crime Count: 6<br>Enrollment: 16872<br>Rate per 1000 students: 0.4","University of Puerto Rico-Rio Piedras<br>San Juan, PR<br>Crime Count: 0<br>Enrollment: 16872<br>Rate per 1000 students: 0.0","University of Puerto Rico-Rio Piedras<br>San Juan, PR<br>Crime Count: 0<br>Enrollment: 16872<br>Rate per 1000 students: 0.0"
70,223,7912,College of Micronesia-FSM,Yap Campus,PO BOX 286 COLONIA,Colonia,FM,969430286,4,"Public, 2-year",872.0,1218.0,2090.0,0,0,0,1,"PO BOX 286 COLONIA, Colonia, FM","[31.83521, -95.840333]",31.83521,-95.840333,0.5,0.0,0.0,0.0,"College of Micronesia-FSM<br>Colonia, FM<br>Crime Count: 1<br>Enrollment: 2090<br>Rate per 1000 students: 0.5","College of Micronesia-FSM<br>Colonia, FM<br>Crime Count: 0<br>Enrollment: 2090<br>Rate per 1000 students: 0.0","College of Micronesia-FSM<br>Colonia, FM<br>Crime Count: 0<br>Enrollment: 2090<br>Rate per 1000 students: 0.0","College of Micronesia-FSM<br>Colonia, FM<br>Crime Count: 0<br>Enrollment: 2090<br>Rate per 1000 students: 0.0"
71,224,7916,University of the Virgin Islands,St. Thomas Campus (Main Campus),#2 JOHN BREWERS BAY,CHARLOTTE AMALIE,VI,8029990,1,"Public, 4-year or above",743.0,1627.0,2370.0,0,0,0,3,"#2 JOHN BREWERS BAY, CHARLOTTE AMALIE, VI","[18.343413, -64.968532]",18.343413,-64.968532,1.3,0.0,0.0,0.0,"University of the Virgin Islands<br>Charlotte Amalie, VI<br>Crime Count: 3<br>Enrollment: 2370<br>Rate per 1000 students: 1.3","University of the Virgin Islands<br>Charlotte Amalie, VI<br>Crime Count: 0<br>Enrollment: 2370<br>Rate per 1000 students: 0.0","University of the Virgin Islands<br>Charlotte Amalie, VI<br>Crime Count: 0<br>Enrollment: 2370<br>Rate per 1000 students: 0.0","University of the Virgin Islands<br>Charlotte Amalie, VI<br>Crime Count: 0<br>Enrollment: 2370<br>Rate per 1000 students: 0.0"
72,225,7966,Antioch University-Seattle,Main Campus,2326 Sixth Avenue,Seattle,WA,981211814,2,"Private nonprofit, 4-year or above",92.0,476.0,568.0,0,0,1,0,"2326 Sixth Avenue, Seattle, WA","[47.6173598, -122.3427244]",47.6173598,-122.3427244,0.0,1.8,0.0,0.0,"Antioch University-Seattle<br>Seattle, WA<br>Crime Count: 0<br>Enrollment: 568<br>Rate per 1000 students: 0.0","Antioch University-Seattle<br>Seattle, WA<br>Crime Count: 1<br>Enrollment: 568<br>Rate per 1000 students: 1.8","Antioch University-Seattle<br>Seattle, WA<br>Crime Count: 0<br>Enrollment: 568<br>Rate per 1000 students: 0.0","Antioch University-Seattle<br>Seattle, WA<br>Crime Count: 0<br>Enrollment: 568<br>Rate per 1000 students: 0.0"
74,227,8180,Mayo Graduate School,Main Campus,200 1ST ST SW,ROCHESTER,MN,55905,2,"Private nonprofit, 4-year or above",146.0,158.0,304.0,0,0,0,1,"200 1ST ST SW, ROCHESTER, MN","[44.0226729, -92.4667508]",44.0226729,-92.4667508,3.3,0.0,0.0,0.0,"Mayo Graduate School<br>Rochester, MN<br>Crime Count: 1<br>Enrollment: 304<br>Rate per 1000 students: 3.3","Mayo Graduate School<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 304<br>Rate per 1000 students: 0.0","Mayo Graduate School<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 304<br>Rate per 1000 students: 0.0","Mayo Graduate School<br>Rochester, MN<br>Crime Count: 0<br>Enrollment: 304<br>Rate per 1000 students: 0.0"
75,228,8478,Santiago Canyon College,Santiago Canyon College,8045 E CHAPMAN,ORANGE,CA,928694512,4,"Public, 2-year",7506.0,4559.0,12065.0,0,0,0,1,"8045 E CHAPMAN, ORANGE, CA","[33.7954226, -117.7667941]",33.7954226,-117.7667941,0.1,0.0,0.0,0.0,"Santiago Canyon College<br>Orange, CA<br>Crime Count: 1<br>Enrollment: 12065<br>Rate per 1000 students: 0.1","Santiago Canyon College<br>Orange, CA<br>Crime Count: 0<br>Enrollment: 12065<br>Rate per 1000 students: 0.0","Santiago Canyon College<br>Orange, CA<br>Crime Count: 0<br>Enrollment: 12065<br>Rate per 1000 students: 0.0","Santiago Canyon College<br>Orange, CA<br>Crime Count: 0<br>Enrollment: 12065<br>Rate per 1000 students: 0.0"
77,230,8817,Living Arts College,Living Arts College @ School of Communication Arts,3000 Wakefield Crossing Drive,RALEIGH,NC,27614,3,"Private for-profit, 4-year or above",100.0,184.0,284.0,0,1,0,0,"3000 Wakefield Crossing Drive, RALEIGH, NC","[35.9427638, -78.555442]",35.9427638,-78.555442,0.0,0.0,3.5,0.0,"Living Arts College<br>Raleigh, NC<br>Crime Count: 0<br>Enrollment: 284<br>Rate per 1000 students: 0.0","Living Arts College<br>Raleigh, NC<br>Crime Count: 0<br>Enrollment: 284<br>Rate per 1000 students: 0.0","Living Arts College<br>Raleigh, NC<br>Crime Count: 1<br>Enrollment: 284<br>Rate per 1000 students: 3.5","Living Arts College<br>Raleigh, NC<br>Crime Count: 0<br>Enrollment: 284<br>Rate per 1000 students: 0.0"
78,231,9035,Virginia Sewing Machines and School Center,Main Campus,"6330 Pacific Blvd., Ste 200",Huntington Park,CA,902554199,9,"Private for-profit, less-than 2-year",40.0,150.0,190.0,0,1,0,0,"6330 Pacific Blvd., Ste 200, Huntington Park, CA","[33.9826699, -118.2248393]",33.9826699,-118.2248393,0.0,0.0,5.3,0.0,"Virginia Sewing Machines and School Center<br>Huntington Park, CA<br>Crime Count: 0<br>Enrollment: 190<br>Rate per 1000 students: 0.0","Virginia Sewing Machines and School Center<br>Huntington Park, CA<br>Crime Count: 0<br>Enrollment: 190<br>Rate per 1000 students: 0.0","Virginia Sewing Machines and School Center<br>Huntington Park, CA<br>Crime Count: 1<br>Enrollment: 190<br>Rate per 1000 students: 5.3","Virginia Sewing Machines and School Center<br>Huntington Park, CA<br>Crime Count: 0<br>Enrollment: 190<br>Rate per 1000 students: 0.0"
82,235,9249,Oregon State University-Cascades Campus,OREGON STATE UNIVERSITY-CASCADES,1500 SW Chandler Avenue,BEND,OR,97702,1,"Public, 4-year or above",502.0,620.0,1122.0,0,3,2,0,"1500 SW Chandler Avenue, BEND, OR","[44.04296799999999, -121.333477]",44.042968,-121.333477,0.0,1.8,2.7,0.0,"Oregon State University-Cascades Campus<br>Bend, OR<br>Crime Count: 0<br>Enrollment: 1122<br>Rate per 1000 students: 0.0","Oregon State University-Cascades Campus<br>Bend, OR<br>Crime Count: 2<br>Enrollment: 1122<br>Rate per 1000 students: 1.8","Oregon State University-Cascades Campus<br>Bend, OR<br>Crime Count: 3<br>Enrollment: 1122<br>Rate per 1000 students: 2.7","Oregon State University-Cascades Campus<br>Bend, OR<br>Crime Count: 0<br>Enrollment: 1122<br>Rate per 1000 students: 0.0"
92,245,11191,PiBerry Institute,Main Campus,30356 Old Dixie Hwy,Homestead,FL,330333215,9,"Private for-profit, less-than 2-year",3.0,23.0,26.0,0,0,1,0,"30356 Old Dixie Hwy, Homestead, FL","[25.4862317, -80.4635654]",25.4862317,-80.4635654,0.0,38.5,0.0,0.0,"PiBerry Institute<br>Homestead, FL<br>Crime Count: 0<br>Enrollment: 26<br>Rate per 1000 students: 0.0","PiBerry Institute<br>Homestead, FL<br>Crime Count: 1<br>Enrollment: 26<br>Rate per 1000 students: 38.5","PiBerry Institute<br>Homestead, FL<br>Crime Count: 0<br>Enrollment: 26<br>Rate per 1000 students: 0.0","PiBerry Institute<br>Homestead, FL<br>Crime Count: 0<br>Enrollment: 26<br>Rate per 1000 students: 0.0"
94,247,11243,Milan Institute-Bakersfield West,Main Campus,3115 N. Sillect,Bakersfield,CA,933089301,6,"Private for-profit, 2-year",75.0,3.0,78.0,0,0,0,1,"3115 N. Sillect, Bakersfield, CA","[35.388165, -119.0380826]",35.388165,-119.0380826,12.8,0.0,0.0,0.0,"Milan Institute-Bakersfield West<br>Bakersfield, CA<br>Crime Count: 1<br>Enrollment: 78<br>Rate per 1000 students: 12.8","Milan Institute-Bakersfield West<br>Bakersfield, CA<br>Crime Count: 0<br>Enrollment: 78<br>Rate per 1000 students: 0.0","Milan Institute-Bakersfield West<br>Bakersfield, CA<br>Crime Count: 0<br>Enrollment: 78<br>Rate per 1000 students: 0.0","Milan Institute-Bakersfield West<br>Bakersfield, CA<br>Crime Count: 0<br>Enrollment: 78<br>Rate per 1000 students: 0.0"
